zscale-x,zscale-y,zscale-z,min_n,max_n,min_r,max_r,valid_gap,dist_sum,dtw_thv
-1.152049,0.079691,0,,,,,,,
-1.133474,0.063505,0,,,,,,,
-1.114676,0.04779,0,,,,,,,
-1.09561,0.032472,0,,,,,,,
-1.07623,0.017482,0,,,,,,,
-1.056497,0.002755,0,,,,,,,
-1.036378,-0.011765,0,,,,,,,
-1.015845,-0.026121,0,,,,,,,
-0.994879,-0.040349,0,,,,,,,
-0.973471,-0.054468,0,,,,,,,
-0.951618,-0.06849,0,,,,,,,
-0.929328,-0.082411,0,,,,,,,
-0.906615,-0.096219,0,,,,,,,
-0.883501,-0.109893,0,,,,,,,
-0.860016,-0.123403,0,,,,,,,
-0.836193,-0.136714,0,,,,,,,
-0.81207,-0.149787,0,,,,,,,
-0.787689,-0.162582,0,,,,,,,
-0.76309,-0.175058,0,,,,,,,
-0.738316,-0.187176,0,,,,,,,
-0.713406,-0.198903,0,,,,,,,
-0.6884,-0.210205,0,,,,,,,
-0.663331,-0.221059,0,,,,,,,
-0.638229,-0.231445,0,,,,,,,
-0.61312,-0.241349,0,,,,,,,
-0.588023,-0.250766,0,,,,,,,
-0.562953,-0.259695,0,,,,,,,
-0.537918,-0.268139,0,,,,,,,
-0.512922,-0.276108,0,,,,,,,
-0.487963,-0.283615,0,,,,,,,
-0.463036,-0.290675,0,,,,,,,
-0.438131,-0.297304,0,,,,,,,
-0.413235,-0.303519,0,,,,,,,
-0.388333,-0.309338,0,,,,,,,
-0.36341,-0.314773,0,,,,,,,
-0.338448,-0.31984,0,,,,,,,
-0.313431,-0.324546,0,,,,,,,
-0.288344,-0.328899,0,,,,,,,
-0.263172,-0.332902,0,,,,,,,
-0.237904,-0.336555,0,,,,,,,
-0.21253,-0.339855,0,,,,,,,
-0.187043,-0.342796,0,,,,,,,
-0.161442,-0.345369,0,,,,,,,
-0.135725,-0.347566,0,,,,,,,
-0.109895,-0.349373,0,,,,,,,
-0.083958,-0.350781,0,,,,,,,
-0.057923,-0.351778,0,,,,,,,
-0.0318,-0.352355,0,,,,,,,
-0.005603,-0.352501,0,,,,,,,
0.020653,-0.352212,0,,,,,,,
0.046953,-0.351482,0,,,,,,,
0.07328,-0.350311,0,,,,,,,
0.099617,-0.348699,0,,,,,,,
0.125947,-0.34665,0,,,,,,,
0.152253,-0.34417,0,,,,,,,
0.178521,-0.341268,0,,,,,,,
0.204734,-0.337953,0,,,,,,,
0.23088,-0.334239,0,,,,,,,
0.256947,-0.330136,0,,,,,,,
0.282925,-0.325659,0,,,,,,,
0.308806,-0.320819,0,,,,,,,
0.334582,-0.315629,0,,,,,,,
0.360248,-0.3101,0,,,,,,,
0.385802,-0.304239,0,,,,,,,
0.411239,-0.298055,0,,,,,,,
0.43656,-0.291553,0,,,,,,,
0.461765,-0.284736,0,,,,,,,
0.486853,-0.277604,0,,,,,,,
0.511828,-0.270155,0,,,,,,,
0.536689,-0.262387,0,,,,,,,
0.561439,-0.254293,0,,,,,,,
0.586079,-0.245869,0,,,,,,,
0.610611,-0.237106,0,,,,,,,
0.635034,-0.227996,0,,,,,,,
0.659349,-0.218532,0,,,,,,,
0.683554,-0.208706,0,,,,,,,
0.707646,-0.198512,0,,,,,,,
0.731622,-0.187944,0,,,,,,,
0.755477,-0.177,0,,,,,,,
0.779204,-0.165677,0,,,,,,,
0.802795,-0.153975,0,,,,,,,
0.826242,-0.141897,0,,,,,,,
0.849534,-0.129447,0,,,,,,,
0.87266,-0.11663,0,,,,,,,
0.895608,-0.103454,0,,,,,,,
0.918366,-0.089927,0,,,,,,,
0.94092,-0.07606,0,,,,,,,
0.963258,-0.061862,0,,,,,,,
0.985367,-0.047343,0,,,,,,,
1.007234,-0.032513,0,,,,,,,
1.028849,-0.017379,0,,,,,,,
1.050201,-0.001948,0,,,,,,,
1.071281,0.013775,0,,,,,,,
1.092082,0.029787,0,,,,,,,
1.112599,0.046089,0,,,,,,,
1.132828,0.062682,0,,,,,,,
1.15277,0.079573,0,,,,,,,
1.172423,0.096769,0,,,,,,,
1.191791,0.11428,0,,,,,,,
1.210878,0.132116,0,,,,,,,
1.229689,0.150291,0,,,,,,,
1.248231,0.168819,0,,,,,,,
1.266511,0.187711,0,,,,,,,
1.284535,0.20698,0,,,,,,,
1.302308,0.226636,0,,,,,,,
1.319834,0.246684,0,,,,,,,
1.337113,0.267127,0,,,,,,,
1.354144,0.287961,0,,,,,,,
1.37092,0.309177,0,,,,,,,
1.387427,0.330759,0,,,,,,,
1.403649,0.352682,0,,,,,,,
1.41956,0.374912,0,,,,,,,
1.435128,0.397407,0,,,,,,,
1.450313,0.420113,0,,,,,,,
1.465066,0.44297,0,,,,,,,
1.479331,0.465904,0,,,,,,,
1.493043,0.488834,0,,,,,,,
1.506127,0.511668,0,,,,,,,
1.518503,0.534308,0,,,,,,,
1.530082,0.556646,0,,,,,,,
1.540769,0.578568,0,,,,,,,
1.550464,0.599957,0,,,,,,,
1.559063,0.620689,0,,,,,,,
1.566459,0.64064,0,,,,,,,
